municipio_id,municipio_nome,microrregiao_id,microrregiao_nome,mesorregiao_id,mesorregiao_nome,regiao_imediata_id,regiao_imediata_nome,regiao_intermediaria_id,regiao_intermediaria_nome
1715101,Novo Acordo,17007,Jalapão,1702,Oriental do Tocantins,170001,Palmas,1701,Palmas
1715150,Novo Alegre,17008,Dianópolis,1702,Oriental do Tocantins,170011,Dianópolis,1703,Gurupi
1715259,Novo Jardim,17008,Dianópolis,1702,Oriental do Tocantins,170011,Dianópolis,1703,Gurupi
1715507,Oliveira de Fátima,17004,Rio Formoso,1701,Ocidental do Tocantins,170002,Porto Nacional,1701,Palmas
1715705,Palmeirante,17002,Araguaína,1701,Ocidental do Tocantins,170007,Colinas do Tocantins,1702,Araguaína
1715754,Palmeirópolis,17005,Gurupi,1701,Ocidental do Tocantins,170010,Gurupi,1703,Gurupi
1716109,Paraíso do Tocantins,17004,Rio Formoso,1701,Ocidental do Tocantins,170003,Paraíso do Tocantins,1701,Palmas
1716208,Paranã,17008,Dianópolis,1702,Oriental do Tocantins,170010,Gurupi,1703,Gurupi
1716307,Pau D'Arco,17002,Araguaína,1701,Ocidental do Tocantins,170005,Araguaína,1702,Araguaína
1716505,Pedro Afonso,17006,Porto Nacional,1702,Oriental do Tocantins,170006,Guaraí,1702,Araguaína
1716604,Peixe,17005,Gurupi,1701,Ocidental do Tocantins,170010,Gurupi,1703,Gurupi
1716653,Pequizeiro,17003,Miracema do Tocantins,1701,Ocidental do Tocantins,170006,Guaraí,1702,Araguaína
1716703,Colméia,17003,Miracema do Tocantins,1701,Ocidental do Tocantins,170006,Guaraí,1702,Araguaína
1717008,Pindorama do Tocantins,17008,Dianópolis,1702,Oriental do Tocantins,170002,Porto Nacional,1701,Palmas
1717206,Piraquê,17002,Araguaína,1701,Ocidental do Tocantins,170005,Araguaína,1702,Araguaína
1717503,Pium,17004,Rio Formoso,1701,Ocidental do Tocantins,170003,Paraíso do Tocantins,1701,Palmas
1717800,Ponte Alta do Bom Jesus,17008,Dianópolis,1702,Oriental do Tocantins,170011,Dianópolis,1703,Gurupi
1717909,Ponte Alta do Tocantins,17007,Jalapão,1702,Oriental do Tocantins,170002,Porto Nacional,1701,Palmas
1718006,Porto Alegre do Tocantins,17008,Dianópolis,1702,Oriental do Tocantins,170011,Dianópolis,1703,Gurupi
1718204,Porto Nacional,17006,Porto Nacional,1702,Oriental do Tocantins,170002,Porto Nacional,1701,Palmas
1718303,Praia Norte,17001,Bico do Papagaio,1701,Ocidental do Tocantins,170009,Araguatins,1702,Araguaína
1718402,Presidente Kennedy,17003,Miracema do Tocantins,1701,Ocidental do Tocantins,170006,Guaraí,1702,Araguaína
1718451,Pugmil,17004,Rio Formoso,1701,Ocidental do Tocantins,170003,Paraíso do Tocantins,1701,Palmas
1718501,Recursolândia,17007,Jalapão,1702,Oriental do Tocantins,170006,Guaraí,1702,Araguaína
1718550,Riachinho,17001,Bico do Papagaio,1701,Ocidental do Tocantins,170005,Araguaína,1702,Araguaína
1718659,Rio da Conceição,17008,Dianópolis,1702,Oriental do Tocantins,170011,Dianópolis,1703,Gurupi
1718709,Rio dos Bois,17003,Miracema do Tocantins,1701,Ocidental do Tocantins,170004,Miracema do Tocantins,1701,Palmas
1718758,Rio Sono,17007,Jalapão,1702,Oriental do Tocantins,170001,Palmas,1701,Palmas
1718808,Sampaio,17001,Bico do Papagaio,1701,Ocidental do Tocantins,170009,Araguatins,1702,Araguaína
1718840,Sandolândia,17004,Rio Formoso,1701,Ocidental do Tocantins,170010,Gurupi,1703,Gurupi
1718865,Santa Fé do Araguaia,17002,Araguaína,1701,Ocidental do Tocantins,170005,Araguaína,1702,Araguaína
1718881,Santa Maria do Tocantins,17006,Porto Nacional,1702,Oriental do Tocantins,170006,Guaraí,1702,Araguaína
1718899,Santa Rita do Tocantins,17005,Gurupi,1701,Ocidental do Tocantins,170002,Porto Nacional,1701,Palmas
1718907,Santa Rosa do Tocantins,17008,Dianópolis,1702,Oriental do Tocantins,170002,Porto Nacional,1701,Palmas
1719004,Santa Tereza do Tocantins,17007,Jalapão,1702,Oriental do Tocantins,170001,Palmas,1701,Palmas
1720002,Santa Terezinha do Tocantins,17001,Bico do Papagaio,1701,Ocidental do Tocantins,170008,Tocantinópolis,1702,Araguaína
1720101,São Bento do Tocantins,17001,Bico do Papagaio,1701,Ocidental do Tocantins,170009,Araguatins,1702,Araguaína
1720150,São Félix do Tocantins,17007,Jalapão,1702,Oriental do Tocantins,170001,Palmas,1701,Palmas
1720200,São Miguel do Tocantins,17001,Bico do Papagaio,1701,Ocidental do Tocantins,170009,Araguatins,1702,Araguaína
1720259,São Salvador do Tocantins,17005,Gurupi,1701,Ocidental do Tocantins,170010,Gurupi,1703,Gurupi
1720309,São Sebastião do Tocantins,17001,Bico do Papagaio,1701,Ocidental do Tocantins,170009,Araguatins,1702,Araguaína
1720499,São Valério,17008,Dianópolis,1702,Oriental do Tocantins,170010,Gurupi,1703,Gurupi
1720655,Silvanópolis,17006,Porto Nacional,1702,Oriental do Tocantins,170002,Porto Nacional,1701,Palmas
1720804,Sítio Novo do Tocantins,17001,Bico do Papagaio,1701,Ocidental do Tocantins,170009,Araguatins,1702,Araguaína
1720853,Sucupira,17005,Gurupi,1701,Ocidental do Tocantins,170010,Gurupi,1703,Gurupi
1720903,Taguatinga,17008,Dianópolis,1702,Oriental do Tocantins,170011,Dianópolis,1703,Gurupi
1720937,Taipas do Tocantins,17008,Dianópolis,1702,Oriental do Tocantins,170011,Dianópolis,1703,Gurupi
1720978,Talismã,17005,Gurupi,1701,Ocidental do Tocantins,170010,Gurupi,1703,Gurupi
1721000,Palmas,17006,Porto Nacional,1702,Oriental do Tocantins,170001,Palmas,1701,Palmas
1721109,Tocantínia,17006,Porto Nacional,1702,Oriental do Tocantins,170004,Miracema do Tocantins,1701,Palmas
1721208,Tocantinópolis,17001,Bico do Papagaio,1701,Ocidental do Tocantins,170008,Tocantinópolis,1702,Araguaína
1721257,Tupirama,17003,Miracema do Tocantins,1701,Ocidental do Tocantins,170006,Guaraí,1702,Araguaína
1721307,Tupiratins,17003,Miracema do Tocantins,1701,Ocidental do Tocantins,170007,Colinas do Tocantins,1702,Araguaína
1722081,Wanderlândia,17002,Araguaína,1701,Ocidental do Tocantins,170005,Araguaína,1702,Araguaína
1722107,Xambioá,17002,Araguaína,1701,Ocidental do Tocantins,170005,Araguaína,1702,Araguaína
